Year,Measure,Sub-Measure,Sub-Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Units
2009,Visitor Days,Serviced Accommodation,Serviced Accommodation,22.35253642,24.41217684,27.91287544,41.79170202,46.5620154,44.51860041,55.38807808,60.17274724,51.71409642,49.24942097,36.05073201,30.78355685,490.9085381,000s
2009,Visitor Days,Non-Serviced Accommodation,Non-Serviced Accommodation,66.25836786,87.55262365,97.06330482,176.4160053,319.7544184,276.2514618,306.496192,375.6124084,274.1043359,147.1669545,77.38818649,67.43817276,2271.502432,000s
2009,Visitor Days,SFR,SFR,22.56763513,6.981677229,7.795721089,16.68421937,11.86293155,8.873165842,14.10074552,14.69764908,8.161591733,8.04651652,6.247983311,18.33478238,144.3546188,000s
2009,Visitor Days,Day Visitor,Day Visitor,314.7308532,364.34237,426.0198252,951.3903859,966.5076912,732.6179113,884.7813606,1098.349485,865.6512642,641.8800963,329.3386915,292.4451663,7868.055101,000s
2009,Visitor Days,Total,Total,425.9093926,483.2888478,558.7917265,1186.282313,1344.687057,1062.261139,1260.766376,1548.83229,1199.631288,846.3429883,449.0255933,409.0016782,10774.82069,000s
2009,Visitor Numbers,Serviced Accommodation,Serviced Accommodation,14.08038748,15.42346872,15.8533201,26.77731885,26.90141381,25.00620267,29.0379723,30.08016764,29.70462393,28.64787304,21.41156262,18.36298321,281.2872944,000s
2009,Visitor Numbers,Non-Serviced Accommodation,Non-Serviced Accommodation,9.202551091,12.81257907,15.16614138,30.77023348,50.22320708,42.50022489,42.56891555,52.16839006,38.42584148,24.12573024,13.19116815,10.48261753,341.6376,000s
2009,Visitor Numbers,SFR,SFR,9.027054054,3.324608204,3.625916786,6.179340506,5.392241615,4.225317068,5.640298208,5.652941953,3.761102181,3.760054449,3.077824291,7.051839377,60.71853869,000s
2009,Visitor Numbers,Day Visitor,Day Visitor,314.7308532,364.34237,426.0198252,951.3903859,966.5076912,732.6179113,884.7813606,1098.349485,865.6512642,641.8800963,329.3386915,292.4451663,7868.055101,000s
2009,Visitor Numbers,Total,Total,347.0408458,395.903026,460.6652035,1015.117279,1049.024554,804.3496559,962.0285467,1186.250985,937.5428318,698.4137541,367.0192465,328.3426064,8551.698534,000s
2009,Vehicle Days,Serviced Accommodation,Serviced Accommodation,6.421335178,9.124127,10.89749668,11.63571121,14.3219489,13.23029243,15.49184706,16.72836707,14.33432278,14.34432869,10.56057114,8.6931855,145.7835336,000s
2009,Vehicle Days,Non-Serviced Accommodation,Non-Serviced Accommodation,19.03565195,31.31041741,28.6118798,47.72144268,94.67070335,81.73450916,84.67840417,102.1413452,81.04573018,39.62153597,22.29874735,15.47762867,648.3479958,000s
2009,Vehicle Days,SFR,SFR,6.394163288,1.978141882,2.208787642,4.727195487,3.36116394,2.514063655,3.995211231,4.164333906,2.312450991,2.279846347,1.770261938,5.194855008,40.90047531,000s
2009,Vehicle Days,Day Visitor,Day Visitor,74.74857762,98.89292901,115.6339526,214.0628368,217.4642305,188.3874629,199.0758061,247.1286341,205.5921753,174.2245976,89.39193054,69.45572699,1894.05886,000s
2009,Vehicle Days,Total,Total,106.599728,141.3056153,157.3521167,278.1471862,329.8180467,285.8663281,303.2412686,370.1626803,303.2846792,230.4703086,124.021511,98.82139617,2729.090865,000s
2009,Vehicle Numbers,Serviced Accommodation,Serviced Accommodation,4.071950337,5.761441917,6.225387727,7.464453151,8.267347675,7.442965868,8.132393389,8.38562371,8.236339339,8.310984588,6.364718026,5.177599565,83.84120529,000s
2009,Vehicle Numbers,Non-Serviced Accommodation,Non-Serviced Accommodation,2.643840548,4.582012304,4.470606219,8.323507444,14.86974398,12.57453987,11.76088947,14.18629794,11.36155096,6.495333765,3.800922843,2.405849017,97.47509436,000s
2009,Vehicle Numbers,SFR,SFR,2.557665315,0.941972325,1.027343089,1.750813143,1.527801791,1.197173169,1.598084492,1.601666887,1.065645618,1.06534876,0.872050216,1.998021157,17.20358596,000s
2009,Vehicle Numbers,Day Visitor,Day Visitor,74.74857762,98.89292901,115.6339526,214.0628368,217.4642305,188.3874629,199.0758061,247.1286341,205.5921753,174.2245976,89.39193054,69.45572699,1894.05886,000s
2009,Vehicle Numbers,Total,Total,84.02203382,110.1783556,127.3572896,231.6016106,242.129124,209.6021418,220.5671735,271.3022227,226.2557112,190.0962647,100.4296216,79.03719672,2092.578746,000s
2009,Accommodation,Serviced Accommodation,Serviced Accommodation,3227.774321,3235.123267,3238.362376,3247,3247,3247,3247,3247,3247,3247,3233.625615,3231.222405,3247,Bed Spaces
2009,Accommodation,Non-Serviced Accommodation,Non-Serviced Accommodation,9445.754756,10118.52301,14422.85356,17390.34057,17399.44686,17399.44686,17404,17291.98107,17394.46777,16096.18025,11879.33554,10306.16152,17404,Bed Spaces
2009,Accommodation,Total,Total,12673.52908,13353.64628,17661.21593,20637.34057,20646.44686,20646.44686,20651,20538.98107,20641.46777,19343.18025,15112.96116,13537.38392,20651,Bed Spaces
