Year,Measure,Sub-Measure,Sub-Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Units
2009,Visitor Days,Serviced Accommodation,Serviced Accommodation,51.95220373,53.10137272,60.76264538,87.28370598,95.87420803,92.35524749,114.6572207,125.613159,104.6622414,102.5412547,76.62506026,65.86658501,1031.294904,000s
2009,Visitor Days,Non-Serviced Accommodation,Non-Serviced Accommodation,90.18019572,116.0320884,123.9408426,218.0885769,388.5954104,336.7639326,372.5376321,457.8860968,337.9667813,189.2225423,100.1472732,89.97967162,2821.341044,000s
2009,Visitor Days,SFR,SFR,22.56763513,6.981677229,7.795721089,16.68421937,11.86293155,8.873165842,14.10074552,14.69764908,8.161591733,8.04651652,6.247983311,18.33478238,144.3546188,000s
2009,Visitor Days,Day Visitor,Day Visitor,314.7308532,364.34237,426.0198252,951.3903859,966.5076912,732.6179113,884.7813606,1098.349485,865.6512642,641.8800963,329.3386915,292.4451663,7868.055101,000s
2009,Visitor Days,Total,Total,479.4308877,540.4575084,618.5190342,1273.446888,1462.840241,1170.610257,1386.076959,1696.54639,1316.441879,941.6904099,512.3590083,466.6262053,11865.04567,000s
2009,Visitor Numbers,Serviced Accommodation,Serviced Accommodation,33.28447171,33.31466559,35.35823742,55.19212822,54.45912024,51.57456521,60.20920538,62.67669417,59.32488039,58.46386593,46.94061477,41.06137811,591.8598271,000s
2009,Visitor Numbers,Non-Serviced Accommodation,Non-Serviced Accommodation,12.52502718,16.98030562,19.36575665,38.03870527,61.03592834,51.80983579,51.74133779,63.59529122,47.37852075,31.0200889,17.07055794,13.98647745,424.5478329,000s
2009,Visitor Numbers,SFR,SFR,9.027054054,3.324608204,3.625916786,6.179340506,5.392241615,4.225317068,5.640298208,5.652941953,3.761102181,3.760054449,3.077824291,7.051839377,60.71853869,000s
2009,Visitor Numbers,Day Visitor,Day Visitor,314.7308532,364.34237,426.0198252,951.3903859,966.5076912,732.6179113,884.7813606,1098.349485,865.6512642,641.8800963,329.3386915,292.4451663,7868.055101,000s
2009,Visitor Numbers,Total,Total,369.5674061,417.9619494,484.369736,1050.80056,1087.394981,840.2276293,1002.372202,1230.274412,976.1157675,735.1241056,396.4276885,354.5448612,8945.181299,000s
2009,Vehicle Days,Serviced Accommodation,Serviced Accommodation,15.40401613,20.36595457,24.33936038,25.0177326,29.97571202,28.26007762,32.94878473,35.96107164,29.79339242,32.87766817,24.94954436,19.13052051,319.0238352,000s
2009,Vehicle Days,Non-Serviced Accommodation,Non-Serviced Accommodation,25.91347703,41.59693003,36.54899859,58.72830031,115.0531704,99.642528,102.3992424,123.5577555,99.939218,50.85796645,28.85151723,20.55318589,803.6422899,000s
2009,Vehicle Days,SFR,SFR,6.394163288,1.978141882,2.208787642,4.727195487,3.36116394,2.514063655,3.995211231,4.164333906,2.312450991,2.279846347,1.770261938,5.194855008,40.90047531,000s
